theta_in,theta_out,d_in_mm,d_out_mm,px_mm,py_mm,pz_mm,qx,qy,qz,qw
0.0,0.0,5.0,0.0,-69.00254821777344,271.84661865234375,-296.9339599609375,0.7013612985610962,-0.04154615476727486,0.0,0.7115941047668457
0.0,0.0,5.0,0.0,-69.00254821777344,271.84661865234375,-296.9339599609375,0.7013612985610962,-0.04154615476727486,0.0,0.7115941047668457
0.0,0.0,5.0,0.0,-69.41094207763672,271.92431640625,-297.115966796875,0.7016721367835999,-0.04007726535201073,0.0,0.7113718390464783
0.0,0.0,5.0,0.0,-69.57794952392578,272.3268127441406,-297.2822570800781,0.7023562788963318,-0.038982268422842026,0.0,0.7107573747634888
0.0,0.0,5.0,0.0,-69.02450561523438,272.04010009765625,-297.25048828125,0.7018170952796936,-0.03964875265955925,0.0,0.7112529277801514
0.0,0.0,5.0,0.0,-69.92831420898438,272.2306823730469,-297.7632751464844,0.7018139362335205,-0.03707538917660713,0.0,0.7113949656486511
0.0,0.0,5.0,0.0,-69.92831420898438,272.2306823730469,-297.7632751464844,0.7018139362335205,-0.03707538917660713,0.0,0.7113949656486511
0.0,0.0,5.0,0.0,-68.93614196777344,272.2705078125,-297.00799560546875,0.7024258971214294,-0.03888525441288948,0.0,0.710693895816803
0.0,0.0,5.0,0.0,-69.14969635009766,272.76519775390625,-296.47698974609375,0.7038136720657349,-0.038945164531469345,0.0,0.7093163132667542
0.0,0.0,5.0,0.0,-69.55425262451172,272.5989074707031,-296.1243591308594,0.7035554647445679,-0.03767918422818184,0.0,0.7096407413482666
0.0,0.0,5.0,0.0,-69.20059204101562,273.109375,-296.0372009277344,0.7052707076072693,-0.038349393755197525,0.0,0.7079000473022461
0.0,0.0,5.0,0.0,-69.20059204101562,273.109375,-296.0372009277344,0.7052707076072693,-0.038349393755197525,0.0,0.7079000473022461
0.0,0.0,5.0,0.0,-69.41885375976562,272.3055419921875,-296.1551818847656,0.7034651041030884,-0.03782673552632332,0.0,0.7097224593162537
0.0,0.0,5.0,0.0,-69.12520599365234,271.9528503417969,-296.7230224609375,0.7024884223937988,-0.037016041576862335,0.0,0.7107319235801697
0.0,0.0,5.0,0.0,-68.91463470458984,271.6463623046875,-296.2973937988281,0.701747477054596,-0.0382341668009758,0.0,0.7113991975784302
0.0,0.0,5.0,0.0,-69.600341796875,270.8164978027344,-296.6152038574219,0.6992857456207275,-0.03643827885389328,0.0,0.7139129042625427
0.0,0.0,5.0,0.0,-69.600341796875,270.8164978027344,-296.6152038574219,0.6992857456207275,-0.03643827885389328,0.0,0.7139129042625427
0.0,0.0,5.0,0.0,-69.70396423339844,271.5497131347656,-295.8109436035156,0.7020247578620911,-0.03662782534956932,0.0,0.7112099528312683
0.0,0.0,5.0,0.0,-68.77252960205078,271.6200256347656,-295.6261291503906,0.7022164463996887,-0.03857482969760895,0.0,0.7109176516532898
0.0,0.0,5.0,0.0,-69.14363098144531,271.3100280761719,-295.585205078125,0.7014232873916626,-0.03854928910732269,0.0,0.7117017507553101
0.0,0.0,5.0,0.0,-68.89273071289062,270.5760498046875,-295.94244384765625,0.6999689936637878,-0.03858033940196037,0.0,0.7131304144859314
0.0,0.0,5.0,0.0,-68.89273071289062,270.5760498046875,-295.94244384765625,0.6999689936637878,-0.03858033940196037,0.0,0.7131304144859314
0.0,0.0,5.0,0.0,-68.61719512939453,270.8351745605469,-295.9075622558594,0.7004517316818237,-0.04062516242265701,0.0,0.7125425338745117
0.0,0.0,5.0,0.0,-68.85282897949219,270.19244384765625,-295.9909362792969,0.6991102695465088,-0.03948647156357765,0.0,0.7139226198196411
0.0,0.0,5.0,0.0,-68.71995544433594,270.2875061035156,-295.6329345703125,0.6993512511253357,-0.039262644946575165,0.0,0.7136990427970886
0.0,0.0,5.0,0.0,-68.8320083618164,270.5193176269531,-295.4237060546875,0.6998865008354187,-0.03857704997062683,0.0,0.7132114768028259
0.0,0.0,5.0,0.0,-68.8320083618164,270.5193176269531,-295.4237060546875,0.6998865008354187,-0.03857704997062683,0.0,0.7132114768028259
0.0,0.0,5.0,0.0,-67.98937225341797,270.8021240234375,-295.8205261230469,0.7003875970840454,-0.040043845772743225,0.0,0.7126384973526001
0.0,0.0,5.0,0.0,-67.9681167602539,271.2565002441406,-295.4380187988281,0.7020597457885742,-0.040084369480609894,0.0,0.7109889984130859
0.0,0.0,5.0,0.0,-68.28421020507812,271.51947021484375,-295.7471008300781,0.702025830745697,-0.03916699066758156,0.0,0.7110736966133118
0.0,0.0,5.0,0.0,-68.82783508300781,270.9385681152344,-295.5321350097656,0.7010513544082642,-0.03683942183852196,0.0,0.7121585011482239
0.0,0.0,5.0,0.0,-68.82783508300781,270.9385681152344,-295.5321350097656,0.7010513544082642,-0.03683942183852196,0.0,0.7121585011482239
0.0,0.0,5.0,0.0,-68.46147155761719,272.0869140625,-295.3428039550781,0.7041409611701965,-0.038392361253499985,0.0,0.7090215086936951
0.0,0.0,5.0,0.0,-69.21082305908203,272.142822265625,-295.8433837890625,0.7037410140037537,-0.03598101809620857,0.0,0.7095448970794678
0.0,0.0,5.0,0.0,-70.44660949707031,272.5174255371094,-296.3138427734375,0.704161524772644,-0.032066162675619125,0.0,0.7093153595924377
0.0,0.0,5.0,0.0,-70.3750228881836,272.68817138671875,-296.78936767578125,0.7044087052345276,-0.03200412914156914,0.0,0.7090727090835571
0.0,0.0,5.0,0.0,-70.3750228881836,272.68817138671875,-296.78936767578125,0.7044087052345276,-0.03200412914156914,0.0,0.7090727090835571
0.0,0.0,5.0,0.0,-70.44490814208984,272.1731872558594,-297.1593933105469,0.7028357982635498,-0.0319628044962883,0.0,0.7106336951255798
0.0,0.0,5.0,0.0,-71.09734344482422,272.2951354980469,-297.01702880859375,0.70317542552948,-0.030971258878707886,0.0,0.7103416323661804
0.0,0.0,5.0,0.0,-70.54383850097656,272.5078430175781,-296.5592956542969,0.7037965655326843,-0.03288266807794571,0.0,0.7096401453018188
0.0,0.0,5.0,0.0,-70.57502746582031,272.477783203125,-296.2802734375,0.7039436101913452,-0.03261605277657509,0.0,0.7095065712928772
0.0,0.0,5.0,0.0,-70.57502746582031,272.477783203125,-296.2802734375,0.7039436101913452,-0.03261605277657509,0.0,0.7095065712928772
0.0,0.0,5.0,0.0,-70.62916564941406,272.1983337402344,-296.3408508300781,0.7033295631408691,-0.03169666603207588,0.0,0.7101569175720215
0.0,0.0,5.0,0.0,-69.95545196533203,272.2705383300781,-296.5449523925781,0.7036165595054626,-0.03451286628842354,0.0,0.7097412347793579
0.0,0.0,5.0,0.0,-69.54956817626953,272.3333740234375,-296.1268615722656,0.7042627930641174,-0.034710101783275604,0.0,0.7090903520584106
0.0,0.0,5.0,0.0,-69.33457946777344,272.28741455078125,-295.3702697753906,0.704717755317688,-0.035480797290802,0.0,0.7086000442504883
0.0,0.0,5.0,0.0,-69.33457946777344,272.28741455078125,-295.3702697753906,0.704717755317688,-0.035480797290802,0.0,0.7086000442504883
