theta_in,theta_out,d_in_mm,d_out_mm,px_mm,py_mm,pz_mm,qx,qy,qz,qw
0.0,-0.6,20.0,5.0,-69.29444885253906,272.0898132324219,-297.1088562011719,0.702567458152771,-0.036458201706409454,0.0,0.7106826901435852
0.0,-0.6,20.0,5.0,-69.29444885253906,272.0898132324219,-297.1088562011719,0.702567458152771,-0.036458201706409454,0.0,0.7106826901435852
0.0,-0.6,20.0,5.0,-70.26966094970703,272.4565734863281,-296.91375732421875,0.7034975290298462,-0.033720389008522034,0.0,0.7098973989486694
0.0,-0.6,20.0,5.0,-69.98616027832031,271.6080017089844,-297.1553649902344,0.7014265060424805,-0.033893417567014694,0.0,0.7119355201721191
0.0,-0.6,20.0,5.0,-70.07283020019531,271.7506103515625,-296.7670593261719,0.7019926905632019,-0.033453334122896194,0.0,0.7113980650901794
0.0,-0.6,20.0,5.0,-70.8876953125,272.2971496582031,-297.0074462890625,0.7031543254852295,-0.03206607699394226,0.0,0.7103137969970703
0.0,-0.6,20.0,5.0,-70.8876953125,272.2971496582031,-297.0074462890625,0.7031543254852295,-0.03206607699394226,0.0,0.7103137969970703
0.0,-0.6,20.0,5.0,-69.99266052246094,272.25775146484375,-296.5807189941406,0.703545331954956,-0.034618668258190155,0.0,0.7098066806793213
0.0,-0.6,20.0,5.0,-70.45321655273438,272.8871154785156,-296.61077880859375,0.704811155796051,-0.03416299819946289,0.0,0.7085718512535095
0.0,-0.6,20.0,5.0,-71.93079376220703,272.9990539550781,-296.76263427734375,0.7047075629234314,-0.030701225623488426,0.0,0.7088332772254944
0.0,-0.6,20.0,5.0,-71.76242065429688,272.3668518066406,-296.95654296875,0.7031293511390686,-0.030081670731306076,0.0,0.7104253768920898
0.0,-0.6,20.0,5.0,-71.76242065429688,272.3668518066406,-296.95654296875,0.7031293511390686,-0.030081670731306076,0.0,0.7104253768920898
0.0,-0.6,20.0,5.0,-71.9496078491211,272.3454895019531,-297.00634765625,0.7034318447113037,-0.02918963134288788,0.0,0.7101631164550781
0.0,-0.6,20.0,5.0,-71.26383972167969,272.83099365234375,-296.95037841796875,0.7044309973716736,-0.03070819191634655,0.0,0.7091077566146851
0.0,-0.6,20.0,5.0,-70.82390594482422,272.8754577636719,-296.273681640625,0.7049623727798462,-0.03224756568670273,0.0,0.7085111737251282
0.0,-0.6,20.0,5.0,-70.55755615234375,272.8724670410156,-296.1153259277344,0.7052836418151855,-0.032414842396974564,0.0,0.708183765411377
0.0,-0.6,20.0,5.0,-70.55755615234375,272.8724670410156,-296.1153259277344,0.7052836418151855,-0.032414842396974564,0.0,0.708183765411377
0.0,-0.6,20.0,5.0,-70.37622833251953,272.1182556152344,-296.1503601074219,0.7035334706306458,-0.032445088028907776,0.0,0.7099210619926453
0.0,-0.6,20.0,5.0,-70.56341552734375,271.68048095703125,-295.8367004394531,0.7026746273040771,-0.03201540559530258,0.0,0.7107906937599182
0.0,-0.6,20.0,5.0,-71.06978607177734,272.3272399902344,-295.7442321777344,0.7041751146316528,-0.030614865943789482,0.0,0.7093660235404968
0.0,-0.6,20.0,5.0,-69.96280670166016,272.6770324707031,-295.4003601074219,0.7056043148040771,-0.03297876566648483,0.0,0.707838237285614
0.0,-0.6,20.0,5.0,-69.96280670166016,272.6770324707031,-295.4003601074219,0.7056043148040771,-0.03297876566648483,0.0,0.707838237285614
0.0,-0.6,20.0,5.0,-68.86542510986328,272.4452209472656,-295.2584228515625,0.7051219940185547,-0.036029376089572906,0.0,0.7081701159477234
0.0,-0.6,20.0,5.0,-69.17137908935547,273.0270080566406,-295.1514587402344,0.7063554525375366,-0.03589130565524101,0.0,0.706946849822998
0.0,-0.6,20.0,5.0,-69.75263214111328,272.2021179199219,-296.00726318359375,0.7032176852226257,-0.03525290638208389,0.0,0.710099995136261
0.0,-0.6,20.0,5.0,-69.83956909179688,272.2291564941406,-295.722900390625,0.7037929892539978,-0.03560574725270271,0.0,0.7095122337341309
0.0,-0.6,20.0,5.0,-69.83956909179688,272.2291564941406,-295.722900390625,0.7037929892539978,-0.03560574725270271,0.0,0.7095122337341309
0.0,-0.6,20.0,5.0,-69.69490051269531,272.4240417480469,-295.86700439453125,0.7043941020965576,-0.035833656787872314,0.0,0.7089040279388428
0.0,-0.6,20.0,5.0,-69.25901794433594,273.47442626953125,-295.79705810546875,0.7068637609481812,-0.037654563784599304,0.0,0.7063468098640442
0.0,-0.6,20.0,5.0,-69.55152893066406,273.29156494140625,-296.03411865234375,0.7064752578735352,-0.03635268658399582,0.0,0.7068035006523132
0.0,-0.6,20.0,5.0,-68.80793762207031,273.6973876953125,-295.582275390625,0.7079260349273682,-0.037995435297489166,0.0,0.7052637934684753
0.0,-0.6,20.0,5.0,-68.80793762207031,273.6973876953125,-295.582275390625,0.7079260349273682,-0.037995435297489166,0.0,0.7052637934684753
0.0,-0.6,20.0,5.0,-69.08563232421875,273.13134765625,-295.7204284667969,0.706379771232605,-0.037632666528224945,0.0,0.7068319320678711
0.0,-0.6,20.0,5.0,-69.22756958007812,272.76507568359375,-295.8923034667969,0.7052440643310547,-0.03747301548719406,0.0,0.7079735994338989
0.0,-0.6,20.0,5.0,-69.63632202148438,272.9036865234375,-295.668212890625,0.705807626247406,-0.03658905625343323,0.0,0.7074580788612366
0.0,-0.6,20.0,5.0,-69.39002227783203,272.61407470703125,-295.6025390625,0.7053421139717102,-0.03714626282453537,0.0,0.7078930735588074
0.0,-0.6,20.0,5.0,-69.39002227783203,272.61407470703125,-295.6025390625,0.7053421139717102,-0.03714626282453537,0.0,0.7078930735588074
0.0,-0.6,20.0,5.0,-68.1539306640625,273.670654296875,-294.45465087890625,0.7085482478141785,-0.04058270901441574,0.0,0.7044944167137146
0.0,-0.6,20.0,5.0,-68.79901123046875,273.07684326171875,-294.324462890625,0.7071095705032349,-0.03808103874325752,0.0,0.7060778141021729
0.0,-0.6,20.0,5.0,-69.49848937988281,271.8563537597656,-295.1861572265625,0.7034656405448914,-0.035645682364702225,0.0,0.7098348140716553
0.0,-0.6,20.0,5.0,-69.85371398925781,271.8638610839844,-295.2981262207031,0.7034897804260254,-0.03506435081362724,0.0,0.7098398804664612
0.0,-0.6,20.0,5.0,-69.85371398925781,271.8638610839844,-295.2981262207031,0.7034897804260254,-0.03506435081362724,0.0,0.7098398804664612
0.0,-0.6,20.0,5.0,-69.17723083496094,272.81646728515625,-295.17633056640625,0.7055054903030396,-0.037352804094552994,0.0,0.7077194452285767
0.0,-0.6,20.0,5.0,-69.24501037597656,273.1822204589844,-295.5148010253906,0.7058872580528259,-0.037624653428792953,0.0,0.7073243260383606
0.0,-0.6,20.0,5.0,-69.03919982910156,273.42901611328125,-295.43914794921875,0.7065946459770203,-0.037805117666721344,0.0,0.7066078782081604
0.0,-0.6,20.0,5.0,-69.25717163085938,273.24212646484375,-295.375244140625,0.7061727046966553,-0.03697795420885086,0.0,0.7070733308792114
0.0,-0.6,20.0,5.0,-69.25717163085938,273.24212646484375,-295.375244140625,0.7061727046966553,-0.03697795420885086,0.0,0.7070733308792114
0.0,-0.6,20.0,5.0,-69.19330596923828,273.208984375,-295.0337829589844,0.7064788937568665,-0.03718053922057152,0.0,0.7067567706108093
0.0,-0.6,20.0,5.0,-69.15718841552734,273.0043029785156,-295.0337829589844,0.706139862537384,-0.036423880606889725,0.0,0.7071349620819092
0.0,-0.6,20.0,5.0,-69.53435516357422,273.0833435058594,-295.1393127441406,0.7064073085784912,-0.03483596816658974,0.0,0.7069478631019592
0.0,-0.6,20.0,5.0,-69.14787292480469,273.48956298828125,-295.53558349609375,0.7066839933395386,-0.037667207419872284,0.0,0.7065259218215942
0.0,-0.6,20.0,8.0,-70.80738830566406,272.0359191894531,-296.15509033203125,0.7032269239425659,-0.034084443002939224,0.0,0.71014803647995
0.0,-0.6,20.0,8.0,-69.65985107421875,272.17901611328125,-296.0867004394531,0.7040634155273438,-0.0370020754635334,0.0,0.7091724872589111
0.0,-0.6,20.0,8.0,-70.15447235107422,271.67034912109375,-296.1683349609375,0.7027220129966736,-0.036022987216711044,0.0,0.7105519771575928
0.0,-0.6,20.0,8.0,-69.92439270019531,271.6427001953125,-295.9491271972656,0.7025624513626099,-0.03631165623664856,0.0,0.7106949687004089
0.0,-0.6,20.0,8.0,-69.32730102539062,272.0500183105469,-295.2752990722656,0.7043536901473999,-0.03735531121492386,0.0,0.7088656425476074
0.0,-0.6,20.0,8.0,-69.32730102539062,272.0500183105469,-295.2752990722656,0.7043536901473999,-0.03735531121492386,0.0,0.7088656425476074
0.0,-0.6,20.0,8.0,-69.25596618652344,272.58331298828125,-295.51458740234375,0.7054989337921143,-0.03801504895091057,0.0,0.7076907157897949
0.0,-0.6,20.0,8.0,-69.55814361572266,271.9479675292969,-295.4750671386719,0.7039144039154053,-0.03693753480911255,0.0,0.7093237042427063
0.0,-0.6,20.0,8.0,-68.93038940429688,271.2891540527344,-295.91619873046875,0.7025294303894043,-0.038175806403160095,0.0,0.7106300592422485
0.0,-0.6,20.0,8.0,-69.11436462402344,272.1453552246094,-296.5528869628906,0.7039900422096252,-0.03735588490962982,0.0,0.7092267870903015
0.0,-0.6,20.0,8.0,-69.11436462402344,272.1453552246094,-296.5528869628906,0.7039900422096252,-0.03735588490962982,0.0,0.7092267870903015
0.0,-0.6,20.0,8.0,-68.5096206665039,272.8148193359375,-296.53851318359375,0.705215573310852,-0.03980085626244545,0.0,0.7078748941421509
0.0,-0.6,20.0,8.0,-69.82957458496094,272.6025085449219,-296.58251953125,0.7045946717262268,-0.03594297915697098,0.0,0.708699107170105
0.0,-0.6,20.0,8.0,-70.8497085571289,272.4428405761719,-296.9553527832031,0.7038623690605164,-0.03336036577820778,0.0,0.7095524668693542
0.0,-0.6,20.0,8.0,-71.69499969482422,272.9339904785156,-296.7310485839844,0.7050138711929321,-0.031184609979391098,0.0,0.7085075378417969
0.0,-0.6,20.0,8.0,-71.69499969482422,272.9339904785156,-296.7310485839844,0.7050138711929321,-0.031184609979391098,0.0,0.7085075378417969
0.0,-0.6,20.0,8.0,-71.69879150390625,272.6390075683594,-297.0882568359375,0.7042217254638672,-0.030355824157595634,0.0,0.7093309760093689
0.0,-0.6,20.0,8.0,-73.42343139648438,272.23223876953125,-297.7625427246094,0.7019224166870117,-0.02602436952292919,0.0,0.7117778062820435
0.0,-0.6,20.0,8.0,-73.13252258300781,272.5046081542969,-297.01641845703125,0.7037660479545593,-0.027022769674658775,0.0,0.7099177241325378
0.0,-0.6,20.0,8.0,-73.31468963623047,272.85931396484375,-297.1980895996094,0.7043395042419434,-0.02688107080757618,0.0,0.709354043006897
0.0,-0.6,20.0,8.0,-73.31468963623047,272.85931396484375,-297.1980895996094,0.7043395042419434,-0.02688107080757618,0.0,0.709354043006897
